Symbol,Type,Description
0GB,crypto,Zero1 Token (or 0G Labs)
0G,crypto,0G (Zero Gravity) AI chain token
1000CAT,crypto,1000CAT meme token
1000CHEEMS,crypto,Cheems meme (1000x)
1000SATS,crypto,1000 Satoshis (Ordinals-based)
1INCH,crypto,1inch Network Token
1MBABYDOGE,crypto,1 Million Baby Doge
2Z,crypto,Unknown meme/project
A2Z,crypto,A to Z token
AAVE,crypto,Aave Lending Protocol
ABTC,crypto,Wrapped Bitcoin (alternative)
ACA,crypto,Acala Token
ACE,crypto,Fusionist (ACE)
ACH,crypto,Alchemy Pay
ACM,crypto,AC Milan Fan Token
ACT,crypto,Acet (or Act I The AI Prophecy)
ACX,crypto,Across Protocol
ADA,crypto,Cardano
ADX,crypto,AdEx
AE,crypto,Aeternity
AERGO,crypto,Aergo
AETH,crypto,Ankr Staked ETH
AEUR,crypto,Anchored Euro
AEVO,crypto,Aevo (derivatives DEX)
AF,crypto,Unknown
AGI,crypto,SingularityNET (now AGIX)
AGIX,crypto,SingularityNET
AGLD,crypto,Adventure Gold (Loot)
AI,crypto,Artificial Intelligence token
AIT,crypto,AICHAIN or AI Trader
AIXBT,crypto,AI + Bitcoin index
AKRO,crypto,Akropolis
ALCX,crypto,Alchemix
ALGO,crypto,Algorand
ALICE,crypto,My Neighbor Alice
ALPACAB,crypto,Alpaca Finance
ALPHA,crypto,Alpha Finance
ALPINE,crypto,Alpine F1 Team Fan Token
ALT,crypto,AltLayer
AMB,crypto,Ambrosus
AMP,crypto,Amp
ANC,crypto,Anchor Protocol
ANIME,crypto,Animecoin
ANKR,crypto,Ankr Network
ANT,crypto,Aragon
ANY,crypto,Anyswap
APE,crypto,ApeCoin
API3,crypto,API3
APPC,crypto,AppCoins
APT,crypto,Aptos
ARB,crypto,Arbitrum
ARDR,crypto,Ardor
ARK,crypto,Ark
ARKM,crypto,Arkham
ARPA,crypto,ARPA Chain
ASR,crypto,AS Roma Fan Token
AST,crypto,AirSwap
ASTR,crypto,Astar
ATA,crypto,Automata
ATM,crypto,Atletico Madrid Fan Token
ATOM,crypto,Cosmos
AUCTION,crypto,Bounce Token
AUDIO,crypto,Audius
AUTO,crypto,Auto Farm
AVA,crypto,Travala
AVAX,crypto,Avalanche
AVNT,crypto,Avant
AWE,crypto,Awe Network
AXL,crypto,Axelar
AXS,crypto,Axie Infinity
BABY,crypto,BabySwap or BabyDoge
BADGER,crypto,Badger DAO
BAKE,crypto,BakeryToken
BAL,crypto,Balancer
BANANA,crypto,ApeSwap Banana
BAND,crypto,Band Protocol
BAR,crypto,FC Barcelona Fan Token
BAT,crypto,Basic Attention Token
BEAM,crypto,Beam (privacy)
BEAMX,crypto,BeamX
BEL,crypto,Bella Protocol
BERA,crypto,Berachain
BETA,crypto,Beta Finance
BETH,crypto,Binance Staked ETH
BICO,crypto,Biconomy
BIGTIME,crypto,Big Time
BIO,crypto,Bio Passport
BLUR,crypto,Blur
BLZ,crypto,Bluzelle
BMT,crypto,BMToken
BNB,crypto,Binance Coin
BNSOL,crypto,Binance SOL (wrapped)
BNT,crypto,Bancor
BNX,crypto,BinaryX
BOME,crypto,Book of Meme
BOT,crypto,Starbots
BQXBTC,crypto,BQX (legacy)
BRD,crypto,Bread
BROCCOLI714,crypto,Meme token
BSW,crypto,Biswap
BTC,crypto,Bitcoin
BTG,crypto,Bitcoin Gold
BTS,crypto,BitShares
BTT,crypto,BitTorrent
